NCP,ecozone,count,percent,order,category
Habitat creaiton and maintenance (HAB),mountain,11,0.24,18,Regulating
Pollination and dispersal of seeds and other propagules (POL),mountain,2,0.04,17,Regulating
Regulation of air quality (AIR),mountain,2,0.04,16,Regulating
Regulation of climate (CLI),mountain,9,0.2,15,Regulating
"Regulation of freshwater quantity, location and timing (WQN)",mountain,10,0.22,14,Regulating
Regulation of freshwater and coastal water quality (WQL),mountain,4,0.09,13,Regulating
"Formation, protection and decontamination of soils and sediments (SOI)",mountain,13,0.28,12,Regulating
Regulation of hazards and extreme events (HAZ),mountain,8,0.17,11,Regulating
Regulation of detrimental organisms and biological processes (ORG),mountain,7,0.15,10,Regulating
Energy (NRG),mountain,20,0.43,9,Material
Food and feed (FOD),mountain,26,0.57,8,Material
"Materials, companionship and labor (MAT)",mountain,19,0.41,7,Material
"Medicinal, biochemical and genetic resources (MED)",mountain,13,0.28,6,Material
Learning and inspiration (INS),mountain,1,0.02,4,Non-material
Physical and psychological experiences (EXP),mountain,11,0.24,3,Non-material
Supporting identities (IDE),mountain,8,0.17,2,Non-material
Maintenance of options (OPT),mountain,0,0,1,Non-material
Habitat creaiton and maintenance (HAB),hill,26,0.36,18,Regulating
Pollination and dispersal of seeds and other propagules (POL),hill,3,0.04,17,Regulating
Regulation of air quality (AIR),hill,7,0.1,16,Regulating
Regulation of climate (CLI),hill,16,0.22,15,Regulating
"Regulation of freshwater quantity, location and timing (WQN)",hill,24,0.33,14,Regulating
Regulation of freshwater and coastal water quality (WQL),hill,11,0.15,13,Regulating
"Formation, protection and decontamination of soils and sediments (SOI)",hill,23,0.32,12,Regulating
Regulation of hazards and extreme events (HAZ),hill,10,0.14,11,Regulating
Regulation of detrimental organisms and biological processes (ORG),hill,7,0.1,10,Regulating
Energy (NRG),hill,35,0.49,9,Material
Food and feed (FOD),hill,41,0.57,8,Material
"Materials, companionship and labor (MAT)",hill,34,0.47,7,Material
"Medicinal, biochemical and genetic resources (MED)",hill,19,0.26,6,Material
Learning and inspiration (INS),hill,6,0.08,4,Non-material
Physical and psychological experiences (EXP),hill,19,0.26,3,Non-material
Supporting identities (IDE),hill,17,0.24,2,Non-material
Maintenance of options (OPT),hill,0,0,1,Non-material
Habitat creaiton and maintenance (HAB),terai,24,0.36,18,Regulating
Pollination and dispersal of seeds and other propagules (POL),terai,4,0.06,17,Regulating
Regulation of air quality (AIR),terai,3,0.05,16,Regulating
Regulation of climate (CLI),terai,14,0.21,15,Regulating
"Regulation of freshwater quantity, location and timing (WQN)",terai,17,0.26,14,Regulating
Regulation of freshwater and coastal water quality (WQL),terai,5,0.08,13,Regulating
"Formation, protection and decontamination of soils and sediments (SOI)",terai,15,0.23,12,Regulating
Regulation of hazards and extreme events (HAZ),terai,7,0.11,11,Regulating
Regulation of detrimental organisms and biological processes (ORG),terai,8,0.12,10,Regulating
Energy (NRG),terai,26,0.39,9,Material
Food and feed (FOD),terai,27,0.41,8,Material
"Materials, companionship and labor (MAT)",terai,24,0.36,7,Material
"Medicinal, biochemical and genetic resources (MED)",terai,10,0.15,6,Material
Learning and inspiration (INS),terai,2,0.03,4,Non-material
Physical and psychological experiences (EXP),terai,23,0.35,3,Non-material
Supporting identities (IDE),terai,14,0.21,2,Non-material
Maintenance of options (OPT),terai,2,0.03,1,Non-material
Habitat creaiton and maintenance (HAB),overall,49,0.36,18,Regulating
Pollination and dispersal of seeds and other propagules (POL),overall,9,0.07,17,Regulating
Regulation of air quality (AIR),overall,10,0.07,16,Regulating
Regulation of climate (CLI),overall,27,0.2,15,Regulating
"Regulation of freshwater quantity, location and timing (WQN)",overall,43,0.31,14,Regulating
Regulation of freshwater and coastal water quality (WQL),overall,17,0.12,13,Regulating
"Formation, protection and decontamination of soils and sediments (SOI)",overall,36,0.26,12,Regulating
Regulation of hazards and extreme events (HAZ),overall,18,0.13,11,Regulating
Regulation of detrimental organisms and biological processes (ORG),overall,18,0.13,10,Regulating
Energy (NRG),overall,60,0.44,9,Material
Food and feed (FOD),overall,74,0.54,8,Material
"Materials, companionship and labor (MAT)",overall,61,0.45,7,Material
"Medicinal, biochemical and genetic resources (MED)",overall,35,0.26,6,Material
Learning and inspiration (INS),overall,9,0.07,4,Non-material
Physical and psychological experiences (EXP),overall,44,0.32,3,Non-material
Supporting identities (IDE),overall,33,0.24,2,Non-material
Maintenance of options (OPT),overall,2,0.01,1,Non-material
